世代,個体No,実値,適応度, 係数0, 係数1
150,62,1.709,17.093,0.46,0.27
151,0,1.894,18.940,-0.25,-0.21
152,51,0.402,4.025,-0.47,1.17
153,29,1.258,12.581,0.75,-0.42
154,15,1.608,16.078,-0.43,0.45
155,77,1.597,15.971,0.14,0.62
156,98,1.469,14.686,-0.73,-0.03
157,44,1.478,14.779,-0.32,-0.65
158,91,1.533,15.328,0.55,-0.40
159,77,1.536,15.362,-0.12,-0.67
160,2,1.210,12.104,0.86,0.24
161,4,0.973,9.725,0.56,-0.85
162,73,1.274,12.744,-0.77,0.36
163,62,0.864,8.642,0.81,0.70
164,15,1.745,17.447,-0.26,-0.43
165,46,0.624,6.237,0.94,-0.70
166,75,1.402,14.022,0.75,0.19
167,68,1.896,18.964,-0.15,-0.29
168,26,1.302,13.015,-0.68,0.49
169,91,1.996,19.957,0.06,0.03
170,54,1.977,19.773,0.15,-0.04
171,59,1.852,18.520,-0.34,0.19
172,87,1.464,14.638,0.72,0.15
173,51,0.943,9.426,-1.02,-0.10
174,46,1.958,19.576,-0.13,0.16
175,15,0.999,9.986,-0.97,0.23
176,53,-1.509,-15.091,1.67,-0.85
177,73,-0.355,-3.549,-1.44,-0.54
178,9,1.737,17.369,-0.47,-0.20
179,17,-0.490,-4.899,-0.23,1.56
180,19,0.923,9.229,-0.11,1.03
181,80,1.745,17.455,0.21,-0.46
182,75,0.794,7.939,-0.08,1.10
183,58,0.585,5.845,-1.13,-0.37
184,79,0.729,7.291,-0.56,-0.98
185,37,1.731,17.311,-0.47,0.23
186,81,1.321,13.209,-0.53,-0.63
187,30,1.019,10.191,-0.95,0.28
188,56,0.954,9.538,-0.82,-0.62
189,18,1.586,15.857,-0.60,-0.24
190,73,1.047,10.473,0.93,-0.31
191,2,1.414,14.144,-0.09,0.76
192,20,1.239,12.389,-0.85,0.18
193,87,1.889,18.885,-0.29,0.17
194,78,-0.223,-2.232,-0.74,1.30
195,76,1.754,17.540,-0.49,-0.04
196,2,1.174,11.743,-0.06,-0.91
197,86,0.353,3.533,-0.92,-0.90
198,60,1.402,14.017,-0.41,0.66
199,8,1.642,16.425,-0.56,-0.20
200,52,1.423,14.227,0.33,-0.68
201,76,1.908,19.084,-0.18,0.25
202,57,1.552,15.523,0.51,0.43
203,3,1.978,19.778,0.09,0.12
204,99,1.883,18.831,-0.07,-0.33
205,51,1.776,17.762,-0.42,-0.22
206,6,-0.445,-4.455,-1.08,-1.13
207,43,1.921,19.213,-0.10,0.26
208,63,0.726,7.263,-0.55,-0.99
209,8,1.720,17.199,0.27,0.46
210,96,1.836,18.358,-0.35,0.21
211,34,1.541,15.408,-0.18,0.65
212,63,1.469,14.693,0.73,0.05
213,26,1.949,19.485,-0.23,0.01
214,43,1.613,16.126,-0.29,0.55
215,38,1.804,18.040,0.42,-0.14
216,19,-0.254,-2.543,-1.30,-0.76
217,28,1.307,13.070,0.24,-0.80
218,44,0.121,1.206,1.16,-0.73
219,61,1.959,19.587,-0.03,0.20
220,63,1.905,19.051,-0.17,0.26
221,46,0.529,5.294,-1.19,0.21
222,18,1.935,19.349,-0.09,-0.24
223,52,1.374,13.745,0.79,-0.03
224,91,0.222,2.218,-0.98,-0.90
225,85,1.921,19.214,0.02,-0.28
226,19,1.828,18.280,0.12,-0.40
227,48,1.710,17.103,0.32,-0.43
228,76,1.459,14.590,-0.59,-0.44
229,56,1.068,10.680,-0.30,-0.92
230,17,1.698,16.984,0.52,-0.17
231,50,0.684,6.841,-1.13,0.21
232,54,1.265,12.650,0.76,0.40
233,46,1.849,18.488,0.30,0.25
234,10,0.598,5.982,-1.16,-0.24
235,18,1.376,13.762,0.71,0.34
236,20,0.146,1.455,0.45,-1.29
237,63,1.293,12.933,0.84,-0.00
238,68,1.670,16.701,-0.57,-0.03
239,68,0.624,6.237,-0.72,0.92
240,17,1.223,12.232,-0.04,0.88
241,94,1.628,16.276,0.38,0.48
242,73,1.740,17.398,0.45,0.24
243,57,1.775,17.754,0.45,-0.14
244,71,0.457,4.573,-0.28,1.21
245,89,0.721,7.208,-1.13,-0.04
246,13,1.886,18.860,0.34,-0.02
247,48,1.401,14.011,0.13,0.76
248,51,1.829,18.290,0.13,-0.39
249,86,0.671,6.708,0.51,-1.03
250,75,1.676,16.760,-0.56,0.08
251,3,1.883,18.827,0.01,-0.34
252,31,1.004,10.036,-0.60,0.80
253,61,0.731,7.307,-0.66,-0.91
254,58,1.942,19.416,-0.22,0.10
255,47,1.488,14.875,0.35,-0.63
256,11,1.809,18.092,0.42,-0.11
257,83,0.530,5.300,0.79,-0.92
258,58,1.376,13.764,-0.08,-0.79
259,24,1.742,17.424,0.51,-0.00
260,76,1.694,16.937,0.51,-0.22
261,14,1.073,10.732,-0.96,0.03
262,88,0.681,6.805,0.47,-1.05
263,39,1.479,14.791,0.67,0.28
264,73,1.850,18.499,-0.22,0.32
265,5,1.608,16.077,-0.12,0.62
266,13,1.014,10.142,0.66,0.74
267,59,0.892,8.920,-0.38,0.98
268,80,0.938,9.379,-0.99,0.30
269,25,0.039,0.389,1.33,-0.43
270,6,1.933,19.328,0.16,0.21
271,86,0.951,9.509,-0.99,0.25
272,8,1.725,17.248,-0.45,0.27
273,42,0.025,0.253,0.76,1.18
274,20,1.938,19.377,-0.02,0.25
275,87,1.748,17.475,0.41,-0.30
276,40,1.415,14.147,0.43,-0.63
277,5,0.654,6.536,0.14,-1.15
278,85,1.639,16.390,0.55,0.24
279,14,1.836,18.360,0.28,-0.30
280,62,1.025,10.251,-0.50,-0.85
281,66,1.953,19.526,0.16,-0.15
282,74,1.670,16.703,0.13,0.56
283,4,1.486,14.859,0.72,0.04
284,59,-0.495,-4.951,1.45,-0.64
285,63,-0.414,-4.138,-1.53,0.29
286,5,1.899,18.992,0.28,0.16
287,50,0.293,2.928,-1.31,-0.01
288,67,1.345,13.452,-0.76,-0.28
289,15,-1.271,-12.712,-1.62,-0.79
290,42,1.407,14.072,0.58,0.51
291,77,1.707,17.074,0.45,0.29
292,19,0.784,7.837,-0.97,-0.52
293,4,1.780,17.803,0.10,-0.46
294,97,1.879,18.790,-0.34,-0.08
295,1,1.910,19.101,-0.27,0.13
296,89,1.494,14.938,0.65,0.30
297,26,1.438,14.379,-0.19,-0.73
298,83,1.642,16.418,0.58,-0.15
299,47,1.680,16.796,0.43,0.37
300,89,1.940,19.403,0.22,-0.11
301,84,1.764,17.644,-0.48,-0.07
302,70,1.708,17.075,-0.47,-0.27
303,76,1.252,12.521,0.78,0.38
304,40,1.306,13.058,-0.50,-0.67
305,39,1.988,19.877,0.05,-0.10
306,86,1.606,16.059,0.62,-0.08
307,79,1.998,19.979,0.04,0.01
308,96,1.979,19.791,-0.12,0.08
309,69,1.437,14.368,-0.37,0.65
310,88,-0.380,-3.799,-1.13,-1.05
311,23,0.150,1.504,1.04,-0.88
312,31,1.130,11.299,0.88,0.30
313,88,-0.126,-1.261,1.24,-0.76
314,26,1.222,12.221,-0.50,-0.73
315,13,1.914,19.137,-0.26,-0.14
316,79,1.625,16.249,0.46,0.40
317,88,1.148,11.483,0.37,-0.85
318,76,1.479,14.795,-0.70,0.19
319,89,0.493,4.932,-1.23,-0.06
320,43,1.903,19.033,0.14,0.28
321,38,0.918,9.178,0.85,0.60
322,18,1.645,16.449,-0.48,0.35
323,44,1.947,19.465,0.10,0.21
324,1,1.814,18.144,0.16,-0.40
325,48,1.031,10.310,-0.82,-0.55
326,45,1.695,16.946,0.25,-0.49
327,3,-0.043,-0.431,-1.33,-0.53
328,41,1.737,17.371,0.49,0.14
329,25,1.962,19.617,0.12,0.15
330,39,0.260,2.599,0.24,-1.30
331,52,1.869,18.694,0.32,-0.18
332,25,1.514,15.138,-0.70,0.04
333,16,1.826,18.263,0.37,-0.19
334,2,-1.239,-12.391,-1.50,0.99
335,81,1.181,11.812,0.83,0.36
336,55,1.264,12.644,0.34,0.79
337,93,0.193,1.933,0.87,-1.02
338,94,1.836,18.363,-0.38,0.15
339,83,1.766,17.661,-0.42,0.23
340,75,1.836,18.359,0.11,0.39
341,33,1.385,13.850,0.78,0.06
342,2,0.398,3.978,0.36,1.21
343,82,1.184,11.841,-0.64,-0.63
344,55,0.950,9.497,1.01,-0.15
345,57,1.982,19.817,-0.00,0.14
346,41,0.618,6.179,-0.43,-1.09
347,31,1.627,16.269,0.42,0.45
348,17,0.727,7.269,-0.42,-1.05
349,56,1.085,10.850,-0.95,0.10
350,35,0.814,8.142,0.56,0.94
351,98,1.466,14.659,-0.73,0.02
352,64,1.693,16.926,-0.37,0.42
353,42,1.175,11.754,-0.02,0.91
354,73,0.046,0.462,-0.41,-1.33
355,32,1.886,18.865,-0.34,0.01
356,37,0.081,0.811,-0.59,-1.25
357,56,0.420,4.204,-1.20,-0.38
358,71,1.810,18.096,-0.35,0.26
359,81,1.508,15.082,0.70,-0.09
360,59,1.087,10.868,-0.91,-0.30
361,70,1.873,18.732,-0.34,0.12
362,78,1.988,19.883,-0.09,0.05
363,39,1.685,16.846,0.19,-0.53
364,85,1.140,11.404,-0.73,0.57
365,45,0.940,9.399,-0.43,0.94
366,88,1.559,15.588,-0.32,-0.58
367,78,0.549,5.485,-1.04,-0.61
368,63,1.111,11.111,-0.94,-0.10
369,1,0.648,6.476,0.48,-1.06
370,10,1.268,12.685,-0.13,-0.84
371,70,1.492,14.922,-0.68,0.22
372,91,1.906,19.061,0.10,-0.29
373,92,0.832,8.323,-0.81,-0.71
374,15,-0.000,-0.002,-0.57,-1.29
375,7,-1.501,-15.013,1.31,-1.34
376,57,-0.097,-0.975,1.16,0.87
377,56,-0.470,-4.701,0.32,1.54
378,60,1.842,18.421,-0.10,0.39
379,28,1.012,10.121,0.71,-0.69
380,16,1.719,17.194,-0.22,-0.48
381,52,1.967,19.673,0.16,-0.08
382,34,1.800,17.996,-0.44,0.09
383,54,-0.061,-0.611,-1.00,-1.03
384,56,1.991,19.905,-0.09,0.03
385,5,1.996,19.956,0.03,0.06
386,17,1.696,16.958,-0.53,0.15
387,13,1.190,11.898,0.85,-0.30
388,45,1.239,12.390,-0.19,0.85
389,46,0.511,5.113,-1.02,-0.67
390,92,0.781,7.807,-0.50,0.98
391,44,-0.927,-9.270,1.66,0.42
392,40,-0.568,-5.678,0.59,-1.49
393,15,0.981,9.805,0.70,0.73
394,82,1.710,17.103,-0.36,0.40
395,32,1.446,14.463,0.39,0.63
396,22,0.552,5.518,-0.32,1.16
397,98,1.881,18.815,-0.08,-0.34
